ubigeo,llave_distrito,dpto_hecho_new,prov_hecho,dist_hecho,denuncias_2024_2026,vehiculos_pnp,vehiculos_operativos,comisarias
020703,ANCASH|CARLOS FERMIN FITZCARRALD|YAUYA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,78,2,1,1
020801,ANCASH|CASMA|CASMA,ANCASH,CASMA,CASMA,3126,19,11,1
020802,ANCASH|CASMA|BUENA VISTA ALTA,ANCASH,CASMA,BUENA VISTA ALTA,40,0,0,0
020803,ANCASH|CASMA|COMANDANTE NOEL,ANCASH,CASMA,COMANDANTE NOEL,71,0,0,0
020804,ANCASH|CASMA|YAUTAN,ANCASH,CASMA,YAUTAN,405,2,1,1
020901,ANCASH|CORONGO|CORONGO,ANCASH,CORONGO,CORONGO,82,2,1,1
020902,ANCASH|CORONGO|ACO,ANCASH,CORONGO,ACO,5,0,0,0
020903,ANCASH|CORONGO|BAMBAS,ANCASH,CORONGO,BAMBAS,2,0,0,0
020904,ANCASH|CORONGO|CUSCA,ANCASH,CORONGO,CUSCA,22,0,0,0
020905,ANCASH|CORONGO|LA PAMPA,ANCASH,CORONGO,LA PAMPA,57,2,1,1
020906,ANCASH|CORONGO|YANAC,ANCASH,CORONGO,YANAC,8,0,0,0
020907,ANCASH|CORONGO|YUPAN,ANCASH,CORONGO,YUPAN,4,0,0,0
021001,ANCASH|HUARI|HUARI,ANCASH,HUARI,HUARI,836,12,6,1
021002,ANCASH|HUARI|ANRA,ANCASH,HUARI,ANRA,25,0,0,0
021003,ANCASH|HUARI|CAJAY,ANCASH,HUARI,CAJAY,18,0,0,0
021004,ANCASH|HUARI|CHAVIN DE HUANTAR,ANCASH,HUARI,CHAVIN DE HUANTAR,345,2,1,2
021005,ANCASH|HUARI|HUACACHI,ANCASH,HUARI,HUACACHI,36,0,0,0
021006,ANCASH|HUARI|HUACCHIS,ANCASH,HUARI,HUACCHIS,5,0,0,0
021007,ANCASH|HUARI|HUACHIS,ANCASH,HUARI,HUACHIS,40,0,0,0
021008,ANCASH|HUARI|HUANTAR,ANCASH,HUARI,HUANTAR,18,0,0,0
021009,ANCASH|HUARI|MASIN,ANCASH,HUARI,MASIN,90,3,1,1
021010,ANCASH|HUARI|PAUCAS,ANCASH,HUARI,PAUCAS,21,0,0,0
021011,ANCASH|HUARI|PONTO,ANCASH,HUARI,PONTO,32,0,0,0
021012,ANCASH|HUARI|RAHUAPAMPA,ANCASH,HUARI,RAHUAPAMPA,25,0,0,0
021013,ANCASH|HUARI|RAPAYAN,ANCASH,HUARI,RAPAYAN,4,0,0,0
021014,ANCASH|HUARI|SAN MARCOS,ANCASH,HUARI,SAN MARCOS,977,17,9,0
021015,ANCASH|HUARI|SAN PEDRO DE CHANA,ANCASH,HUARI,SAN PEDRO DE CHANA,26,0,0,0
021016,ANCASH|HUARI|UCO,ANCASH,HUARI,UCO,55,1,1,1
021101,ANCASH|HUARMEY|HUARMEY,ANCASH,HUARMEY,HUARMEY,1405,22,19,1
021102,ANCASH|HUARMEY|COCHAPETI,ANCASH,HUARMEY,COCHAPETI,4,0,0,0
021103,ANCASH|HUARMEY|CULEBRAS,ANCASH,HUARMEY,CULEBRAS,23,0,0,0
021104,ANCASH|HUARMEY|HUAYAN,ANCASH,HUARMEY,HUAYAN,2,0,0,0
021105,ANCASH|HUARMEY|MALVAS,ANCASH,HUARMEY,MALVAS,4,0,0,0
021201,ANCASH|HUAYLAS|CARAZ,ANCASH,HUAYLAS,CARAZ,2617,3,1,1
021202,ANCASH|HUAYLAS|HUALLANCA,ANCASH,HUAYLAS,HUALLANCA,89,2,1,1
021203,ANCASH|HUAYLAS|HUATA,ANCASH,HUAYLAS,HUATA,16,0,0,0
021204,ANCASH|HUAYLAS|HUAYLAS,ANCASH,HUAYLAS,HUAYLAS,60,2,1,1
021205,ANCASH|HUAYLAS|MATO,ANCASH,HUAYLAS,MATO,32,0,0,0
021206,ANCASH|HUAYLAS|PAMPAROMAS,ANCASH,HUAYLAS,PAMPAROMAS,48,1,1,1
021207,ANCASH|HUAYLAS|PUEBLO LIBRE,ANCASH,HUAYLAS,PUEBLO LIBRE,67,0,0,0
021208,ANCASH|HUAYLAS|SANTA CRUZ,ANCASH,HUAYLAS,SANTA CRUZ,53,0,0,0
021209,ANCASH|HUAYLAS|SANTO TORIBIO,ANCASH,HUAYLAS,SANTO TORIBIO,8,0,0,0
021210,ANCASH|HUAYLAS|YURACMARCA,ANCASH,HUAYLAS,YURACMARCA,34,0,0,0
021301,ANCASH|MARISCAL LUZURIAGA|PISCOBAMBA,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,219,4,2,1
021302,ANCASH|MARISCAL LUZURIAGA|CASCA,ANCASH,MARISCAL LUZURIAGA,CASCA,53,0,0,0
021303,ANCASH|MARISCAL LUZURIAGA|ELEAZAR GUZMAN BARRON,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,9,0,0,0
021304,ANCASH|MARISCAL LUZURIAGA|FIDEL OLIVAS ESCUDERO,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,1,0,0,0
021305,ANCASH|MARISCAL LUZURIAGA|LLAMA,ANCASH,MARISCAL LUZURIAGA,LLAMA,10,0,0,0
021306,ANCASH|MARISCAL LUZURIAGA|LLUMPA,ANCASH,MARISCAL LUZURIAGA,LLUMPA,20,0,0,0
021307,ANCASH|MARISCAL LUZURIAGA|LUCMA,ANCASH,MARISCAL LUZURIAGA,LUCMA,10,0,0,0
021308,ANCASH|MARISCAL LUZURIAGA|MUSGA,ANCASH,MARISCAL LUZURIAGA,MUSGA,4,0,0,0
021401,ANCASH|OCROS|OCROS,ANCASH,OCROS,OCROS,81,3,2,1
021402,ANCASH|OCROS|ACAS,ANCASH,OCROS,ACAS,2,0,0,0
021404,ANCASH|OCROS|CARHUAPAMPA,ANCASH,OCROS,CARHUAPAMPA,7,0,0,0
021405,ANCASH|OCROS|COCHAS,ANCASH,OCROS,COCHAS,37,0,0,0
021406,ANCASH|OCROS|CONGAS,ANCASH,OCROS,CONGAS,1,0,0,0
021407,ANCASH|OCROS|LLIPA,ANCASH,OCROS,LLIPA,1,0,0,0
021408,ANCASH|OCROS|SAN CRISTOBAL DE RAJAN,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,7,1,1,1
021409,ANCASH|OCROS|SAN PEDRO,ANCASH,OCROS,SAN PEDRO,3,0,0,0
021410,ANCASH|OCROS|SANTIAGO DE CHILCAS,ANCASH,OCROS,SANTIAGO DE CHILCAS,3,0,0,0
021501,ANCASH|PALLASCA|CABANA,ANCASH,PALLASCA,CABANA,119,2,1,1
021502,ANCASH|PALLASCA|BOLOGNESI,ANCASH,PALLASCA,BOLOGNESI,9,0,0,0
021503,ANCASH|PALLASCA|CONCHUCOS,ANCASH,PALLASCA,CONCHUCOS,53,2,1,1
021504,ANCASH|PALLASCA|HUACASCHUQUE,ANCASH,PALLASCA,HUACASCHUQUE,2,0,0,0
021505,ANCASH|PALLASCA|HUANDOVAL,ANCASH,PALLASCA,HUANDOVAL,10,0,0,0
021506,ANCASH|PALLASCA|LACABAMBA,ANCASH,PALLASCA,LACABAMBA,1,0,0,0
021507,ANCASH|PALLASCA|LLAPO,ANCASH,PALLASCA,LLAPO,1,0,0,0
021508,ANCASH|PALLASCA|PALLASCA,ANCASH,PALLASCA,PALLASCA,87,0,0,1
021509,ANCASH|PALLASCA|PAMPAS,ANCASH,PALLASCA,PAMPAS,111,1,1,1
021510,ANCASH|PALLASCA|SANTA ROSA,ANCASH,PALLASCA,SANTA ROSA,6,0,0,0
021511,ANCASH|PALLASCA|TAUCA,ANCASH,PALLASCA,TAUCA,72,2,1,1
021601,ANCASH|POMABAMBA|POMABAMBA,ANCASH,POMABAMBA,POMABAMBA,935,3,1,1
021602,ANCASH|POMABAMBA|HUAYLLAN,ANCASH,POMABAMBA,HUAYLLAN,47,0,0,0
021603,ANCASH|POMABAMBA|PAROBAMBA,ANCASH,POMABAMBA,PAROBAMBA,55,0,0,0
021604,ANCASH|POMABAMBA|QUINUABAMBA,ANCASH,POMABAMBA,QUINUABAMBA,16,0,0,0
021701,ANCASH|RECUAY|RECUAY,ANCASH,RECUAY,RECUAY,378,3,1,1
021702,ANCASH|RECUAY|CATAC,ANCASH,RECUAY,CATAC,291,5,4,1
021703,ANCASH|RECUAY|COTAPARACO,ANCASH,RECUAY,COTAPARACO,32,2,1,1
021704,ANCASH|RECUAY|HUAYLLAPAMPA,ANCASH,RECUAY,HUAYLLAPAMPA,10,0,0,0
021705,ANCASH|RECUAY|LLACLLIN,ANCASH,RECUAY,LLACLLIN,8,0,0,0
021706,ANCASH|RECUAY|MARCA,ANCASH,RECUAY,MARCA,41,0,0,1
021707,ANCASH|RECUAY|PAMPAS CHICO,ANCASH,RECUAY,PAMPAS CHICO,8,0,0,0
021708,ANCASH|RECUAY|PARARIN,ANCASH,RECUAY,PARARIN,8,0,0,0
021710,ANCASH|RECUAY|TICAPAMPA,ANCASH,RECUAY,TICAPAMPA,41,0,0,0
021801,ANCASH|SANTA|CHIMBOTE,ANCASH,SANTA,CHIMBOTE,19297,369,120,7
021802,ANCASH|SANTA|CACERES DEL PERU,ANCASH,SANTA,CACERES DEL PERU,175,0,0,1
021803,ANCASH|SANTA|COISHCO,ANCASH,SANTA,COISHCO,1086,5,2,1
021804,ANCASH|SANTA|MACATE,ANCASH,SANTA,MACATE,59,3,2,2
021805,ANCASH|SANTA|MORO,ANCASH,SANTA,MORO,417,3,2,1
021806,ANCASH|SANTA|NEPENA,ANCASH,SANTA,NEPEÑA,721,7,4,0
021807,ANCASH|SANTA|SAMANCO,ANCASH,SANTA,SAMANCO,246,3,1,1
021808,ANCASH|SANTA|SANTA,ANCASH,SANTA,SANTA,1545,13,6,1
021809,ANCASH|SANTA|NUEVO CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,7673,37,17,2
021901,ANCASH|SIHUAS|SIHUAS,ANCASH,SIHUAS,SIHUAS,359,10,4,1
021902,ANCASH|SIHUAS|ACOBAMBA,ANCASH,SIHUAS,ACOBAMBA,7,0,0,0
021903,ANCASH|SIHUAS|ALFONSO UGARTE,ANCASH,SIHUAS,ALFONSO UGARTE,5,0,0,0
021904,ANCASH|SIHUAS|CASHAPAMPA,ANCASH,SIHUAS,CASHAPAMPA,22,0,0,0
