AÑO,MES,UBIGEO,NOMBDEPTO,NOMBPROV,NOMBDIST,TIPO_VEHICULO,TIPO_UNIDAD,TIPO_VEHICULO_PRIO,TIPO_PROCEDENCIA,ESTADO,AÑOFABRICACION,CANTIDAD
2025,JULIO,240101,TUMBES,TUMBES,TUMBES,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,OFECOD,INOPERATIVO IRRECUPERABLE,1988,1
2025,JULIO,20101,ÁNCASH,HUARAZ,HUARAZ,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2024,8
2025,JULIO,200706,PIURA,TALARA,MANCORA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,OPERATIVO,2024,1
2025,JULIO,220904,SAN MARTIN,SAN MARTIN,CHAZUTA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2025,1
2025,JULIO,150104,LIMA METROPOLITANA,LIMA,BARRANCO,MOTOR F/B,UNIDAD ESPECIALIZADA,OTROS,OFECOD,INOPERATIVO IRRECUPERABLE,1973,1
2025,JULIO,21801,ÁNCASH,SANTA,CHIMBOTE,DESLIZADOR,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,1983,1
2025,JULIO,10704,AMAZONAS,UTCUBAMBA,EL MILAGRO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2008,1
2025,JULIO,130703,LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,INOPERATIVO IRRECUPERABLE,2015,1
2025,JULIO,100102,HUANUCO,HUANUCO,AMARILIS,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2015,1
2025,JULIO,120101,JUNIN,HUANCAYO,HUANCAYO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2009,3
2025,JULIO,30101,APURÍMAC,ABANCAY,ABANCAY,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2019,3
2025,JULIO,120101,JUNIN,HUANCAYO,HUANCAYO,AUTO,UNIDAD ESPECIALIZADA,AUTO,COMPRA DIRECTA,OPERATIVO,2012,1
2025,JULIO,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,AFECTACION EN USO,OPERATIVO,2024,22
2025,JULIO,60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2009,1
2025,JULIO,120401,JUNIN,JAUJA,JAUJA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2017,1
2025,JULIO,80101,CUSCO,CUSCO,CUSCO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2008,1
2025,JULIO,120604,JUNIN,SATIPO,MAZAMARI,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,PRONABI,OPERATIVO,2011,1
2025,JULIO,110101,ICA,ICA,ICA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,INOPERATIVO IRRECUPERABLE,2013,3
2025,JULIO,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2013,5
2025,JULIO,110101,ICA,ICA,ICA,CUATRIMOTO,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,OPERATIVO,2018,1
2025,JULIO,50101,AYACUCHO,HUAMANGA,AYACUCHO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2014,2
2025,JULIO,50101,AYACUCHO,HUAMANGA,AYACUCHO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,OFECOD,INOPERATIVO IRRECUPERABLE,1997,1
2025,JULIO,60108,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,3
2025,JULIO,150501,REGIÓN LIMA,CAÑETE,SAN VICENTE DE CAÑETE,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,1
2025,JULIO,150601,REGIÓN LIMA,HUARAL,HUARAL,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,OPERATIVO,1995,1
2025,JULIO,150134,LIMA METROPOLITANA,LIMA,SAN LUIS,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2016,3
2025,JULIO,150501,REGIÓN LIMA,CAÑETE,SAN VICENTE DE CAÑETE,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,INOPERATIVO IRRECUPERABLE,2008,1
2025,JULIO,150204,REGIÓN LIMA,BARRANCA,SUPE,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2016,6
2025,JULIO,80101,CUSCO,CUSCO,CUSCO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2015,14
