AÑO,MES,DEPENDENCIAS_GENERALES,DEPENDENCIAS,UNIDADES,DEPARTAMENTO,PROVINCIA,DISTRITO,SEXO,CATEGORIA_OFI_SUB,CATEGORIA_ARM_SERV,FUNCION,APT.PSICOSOMATICA,ESTUDIOS_ADICIONALES,PROFESION,ORIGINARIOS,EXTRANJERO,CLASIFICACION,CANTIDAD
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION DE INTELIGENCIA,ESTADO MAYOR,LIMA METROPOLITANA,LIMA,SAN ISIDRO,MASCULINO,OFICIAL,ARMAS,ADM,APTO COD. 0,DOCTORADO,OTROS,CASTELLANO,PORTUGUÉS,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE INVESTIGACION CRIMINAL,DIRECCION ANTIDROGAS,SAN MARTÍN,HUALLAGA,SAPOSOA,MASCULINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL CUSCO,CUSCO,URUBAMBA,URUBAMBA,MASCULINO,OFICIAL,ARMAS,OPE,APTO COD. 0,TÍTULO,DERECHO,CASTELLANO,ITALIANO,OTRAS DEPENDENCIAS,1
2026,MARZO,SECRETARIA EJECUTIVA,DIRECCION DE RECURSOS HUMANOS,DIVISION DE SISTEMATIZACION DE LA INFORMACION DE LA CARRERA POLICIAL Y ADMINISTRACION DE LEGAJOS,LIMA METROPOLITANA,LIMA,RIMAC,FEMENINO,SUB OFICIAL,SERVICIOS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION DE CRIMINALISTICA,SECRETARIA,LIMA METROPOLITANA,LIMA,SURQUILLO,MASCULINO,OFICIAL,SERVICIOS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL PUNO,PUNO,YUNGUYO,OLLARAYA,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,INGLÉS,COMISARÍAS BÁSICAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE INVESTIGACION CRIMINAL,DIRECCION DE POLICIA FISCAL,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,MASCULINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,TÍTULO,DERECHO,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL PIURA,PIURA,PIURA,PIURA,MASCULINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,TÍTULO,DERECHO,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,7
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION DE CRIMINALISTICA,SECRETARIA,AYACUCHO,HUAMANGA,AYACUCHO,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,4
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LIMA CENTRO,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,MASCULINO,OFICIAL,ARMAS,OPE,SIN INFORMACIÓN,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,COMISARÍAS BÁSICAS,16
