ID;Nº DE INGRESOS;DELITO GENERICO;DELITO ESPECÍFICO;SITUACION JURIDICA;EDAD;SEXO;PAIS;ESTADO CIVIL;GRADO DE INSTRUCCIÓN;OCUPACION GENERICO;OCUPACION ESPECIFICO;NOMBRE DEL PENAL;DEPARTAMENTO;OFICINA REGIONAL;MES;CONTINENTE
36593;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;PROCESADO;42;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36594;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE MENOR DE EDAD;SENTENCIADO;43;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;OTROS OFICIOS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36595;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;32;FEMENINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36596;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;34;FEMENINO;PERÚ;SOLTERO;PRIMARIA COMP.;OFICIOS;OTROS OFICIOS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36597;1;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO;SENTENCIADO;31;MASCULINO;PERÚ;SOLTERO;ANALFABETO;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36598;1;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO;PROCESADO;24;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36599;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE PERSONA EN ESTADO DE INCONSCIENCIA O EN LA IMPOSIBILIDAD DE RESISTIR;SENTENCIADO;32;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36600;1;DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD;LESIONES GRAVES;SENTENCIADO;27;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36601;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;29;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36602;1;DELITOS CONTRA LA LIBERTAD;TOCAMIENTOS, ACTOS DE CONNOTACIÓN SEXUAL O ACTOS LIBIDINOSOS EN AGRAVIO DE MENORES;SENTENCIADO;27;MASCULINO;PERÚ;SOLTERO;PRIMARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36603;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE MENOR DE EDAD;SENTENCIADO;34;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;ESTUDIANTES;ESTUDIANTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36604;1;DELITOS CONTRA LA LIBERTAD;ACTOS CONTRA EL PUDOR EN MENORES DE 14 AÑOS;SENTENCIADO;37;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36605;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;25;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36606;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;26;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36607;1;DELITOS CONTRA LA DIGNIDAD HUMANA;FORMAS AGRAVADAS DE LA TRATA DE PERSONAS;SENTENCIADO;42;FEMENINO;PERÚ;SOLTERO;PRIMARIA COMP.;OFICIOS;OTROS OFICIOS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36608;1;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO;SENTENCIADO;33;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36609;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE MENOR DE EDAD;SENTENCIADO;43;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;OBREROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36610;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL;SENTENCIADO;47;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36611;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL;SENTENCIADO;33;MASCULINO;PERÚ;SOLTERO;PRIMARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36612;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;25;MASCULINO;PERÚ;SOLTERO;PRIMARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36613;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS - FORMAS AGRAVADAS;SENTENCIADO;27;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36614;1;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO GRADO TENTATIVA;SENTENCIADO;23;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;OBREROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36615;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;20;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;ESTUDIANTES;ESTUDIANTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36616;3;DELITOS CONTRA LA SEGURIDAD PUBLICA;PROMOCIÓN O FAVORECIMIENTO AL TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;46;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
