id,edad,ingresos,sexo,delito_generico,situacion_juridica,departamento,nombre_del_penal,cluster_kmeans
215,28,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
216,43,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
217,33,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
218,48,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,4
219,25,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
220,27,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
221,63,2,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
222,30,3,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,3
223,54,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
224,39,2,Masculino,DELITOS CONTRA LA FAMILIA,Sentenciado,Tumbes,E.P. DE TUMBES,3
